Year,Round,Driver,Team,CumulativePoints,Wins,Podiums,DNFs,RacesCompleted,ChampionshipPosition,PointsGapToLeader,PointsGapToAhead,WinRate,PodiumRate,PointsPerRace
2023,1,VER,Red Bull Racing,25.0,1,1,0,1,1,0.0,0.0,1.0,1.0,25.0
2023,1,PER,Red Bull Racing,18.0,0,1,0,1,2,7.0,7.0,0.0,1.0,18.0
2023,1,ALO,Aston Martin,15.0,0,1,0,1,3,10.0,3.0,0.0,1.0,15.0
2023,1,SAI,Ferrari,12.0,0,0,0,1,4,13.0,3.0,0.0,0.0,12.0
2023,1,HAM,Mercedes,10.0,0,0,0,1,5,15.0,2.0,0.0,0.0,10.0
2023,1,STR,Aston Martin,8.0,0,0,0,1,6,17.0,2.0,0.0,0.0,8.0
2023,1,RUS,Mercedes,6.0,0,0,0,1,7,19.0,2.0,0.0,0.0,6.0
2023,1,BOT,Alfa Romeo,4.0,0,0,0,1,8,21.0,2.0,0.0,0.0,4.0
2023,1,GAS,Alpine,2.0,0,0,0,1,9,23.0,2.0,0.0,0.0,2.0
2023,1,ALB,Williams,1.0,0,0,0,1,10,24.0,1.0,0.0,0.0,1.0
2023,1,TSU,AlphaTauri,0.0,0,0,0,1,11,25.0,1.0,0.0,0.0,0.0
2023,1,SAR,Williams,0.0,0,0,0,1,12,25.0,0.0,0.0,0.0,0.0
2023,1,MAG,Haas F1 Team,0.0,0,0,0,1,13,25.0,0.0,0.0,0.0,0.0
2023,1,DEV,AlphaTauri,0.0,0,0,0,1,14,25.0,0.0,0.0,0.0,0.0
2023,1,HUL,Haas F1 Team,0.0,0,0,0,1,15,25.0,0.0,0.0,0.0,0.0
2023,1,ZHO,Alfa Romeo,0.0,0,0,0,1,16,25.0,0.0,0.0,0.0,0.0
2023,1,NOR,McLaren,0.0,0,0,0,1,17,25.0,0.0,0.0,0.0,0.0
2023,1,OCO,Alpine,0.0,0,0,0,1,18,25.0,0.0,0.0,0.0,0.0
2023,1,LEC,Ferrari,0.0,0,0,0,1,19,25.0,0.0,0.0,0.0,0.0
2023,1,PIA,McLaren,0.0,0,0,0,1,20,25.0,0.0,0.0,0.0,0.0
2023,2,VER,Red Bull Racing,44.0,1,2,0,2,1,0.0,0.0,0.5,1.0,22.0
2023,2,PER,Red Bull Racing,43.0,1,2,0,2,2,1.0,1.0,0.5,1.0,21.5
2023,2,ALO,Aston Martin,30.0,0,2,0,2,3,14.0,13.0,0.0,1.0,15.0
2023,2,SAI,Ferrari,20.0,0,0,0,2,4,24.0,10.0,0.0,0.0,10.0
2023,2,HAM,Mercedes,20.0,0,0,0,2,5,24.0,0.0,0.0,0.0,10.0
2023,2,RUS,Mercedes,18.0,0,0,0,2,6,26.0,2.0,0.0,0.0,9.0
2023,2,STR,Aston Martin,8.0,0,0,0,2,7,36.0,10.0,0.0,0.0,4.0
2023,2,LEC,Ferrari,6.0,0,0,0,2,8,38.0,2.0,0.0,0.0,3.0
2023,2,GAS,Alpine,4.0,0,0,0,2,9,40.0,2.0,0.0,0.0,2.0
2023,2,BOT,Alfa Romeo,4.0,0,0,0,2,10,40.0,0.0,0.0,0.0,2.0
2023,2,OCO,Alpine,4.0,0,0,0,2,11,40.0,0.0,0.0,0.0,2.0
2023,2,ALB,Williams,1.0,0,0,0,2,12,43.0,3.0,0.0,0.0,0.5
2023,2,MAG,Haas F1 Team,1.0,0,0,0,2,13,43.0,0.0,0.0,0.0,0.5
2023,2,TSU,AlphaTauri,0.0,0,0,0,2,14,44.0,1.0,0.0,0.0,0.0
2023,2,SAR,Williams,0.0,0,0,0,2,15,44.0,0.0,0.0,0.0,0.0
2023,2,DEV,AlphaTauri,0.0,0,0,0,2,16,44.0,0.0,0.0,0.0,0.0
2023,2,ZHO,Alfa Romeo,0.0,0,0,0,2,17,44.0,0.0,0.0,0.0,0.0
2023,2,HUL,Haas F1 Team,0.0,0,0,0,2,18,44.0,0.0,0.0,0.0,0.0
2023,2,NOR,McLaren,0.0,0,0,0,2,19,44.0,0.0,0.0,0.0,0.0
2023,2,PIA,McLaren,0.0,0,0,0,2,20,44.0,0.0,0.0,0.0,0.0
2023,3,VER,Red Bull Racing,69.0,2,3,0,3,1,0.0,0.0,0.6666666666666666,1.0,23.0
2023,3,PER,Red Bull Racing,54.0,1,2,0,3,2,15.0,15.0,0.3333333333333333,0.6666666666666666,18.0
2023,3,ALO,Aston Martin,45.0,0,3,0,3,3,24.0,9.0,0.0,1.0,15.0
2023,3,HAM,Mercedes,38.0,0,1,0,3,4,31.0,7.0,0.0,0.3333333333333333,12.666666666666666
2023,3,SAI,Ferrari,20.0,0,0,0,3,5,49.0,18.0,0.0,0.0,6.666666666666667
2023,3,STR,Aston Martin,20.0,0,0,0,3,6,49.0,0.0,0.0,0.0,6.666666666666667
2023,3,RUS,Mercedes,18.0,0,0,0,3,7,51.0,2.0,0.0,0.0,6.0
2023,3,NOR,McLaren,8.0,0,0,0,3,8,61.0,10.0,0.0,0.0,2.6666666666666665
2023,3,HUL,Haas F1 Team,6.0,0,0,0,3,9,63.0,2.0,0.0,0.0,2.0
2023,3,LEC,Ferrari,6.0,0,0,0,3,10,63.0,0.0,0.0,0.0,2.0
2023,3,GAS,Alpine,4.0,0,0,0,3,11,65.0,2.0,0.0,0.0,1.3333333333333333
2023,3,BOT,Alfa Romeo,4.0,0,0,0,3,12,65.0,0.0,0.0,0.0,1.3333333333333333
2023,3,PIA,McLaren,4.0,0,0,0,3,13,65.0,0.0,0.0,0.0,1.3333333333333333
2023,3,OCO,Alpine,4.0,0,0,0,3,14,65.0,0.0,0.0,0.0,1.3333333333333333
2023,3,ZHO,Alfa Romeo,2.0,0,0,0,3,15,67.0,2.0,0.0,0.0,0.6666666666666666
2023,3,ALB,Williams,1.0,0,0,0,3,16,68.0,1.0,0.0,0.0,0.3333333333333333
2023,3,MAG,Haas F1 Team,1.0,0,0,0,3,17,68.0,0.0,0.0,0.0,0.3333333333333333
2023,3,TSU,AlphaTauri,1.0,0,0,0,3,18,68.0,0.0,0.0,0.0,0.3333333333333333
2023,3,SAR,Williams,0.0,0,0,0,3,19,69.0,1.0,0.0,0.0,0.0
2023,3,DEV,AlphaTauri,0.0,0,0,0,3,20,69.0,0.0,0.0,0.0,0.0
2023,4,VER,Red Bull Racing,87.0,2,4,0,4,1,0.0,0.0,0.5,1.0,21.75
2023,4,PER,Red Bull Racing,79.0,2,3,0,4,2,8.0,8.0,0.5,0.75,19.75
