DriverNumber,Abbreviation,TeamName,Position,Points,Status,GridPosition,Year,Round,EventName
44,HAM,Mercedes,1.0,25.0,Finished,2.0,2021,1,Bahrain Grand Prix
33,VER,Red Bull Racing,2.0,18.0,Finished,1.0,2021,1,Bahrain Grand Prix
77,BOT,Mercedes,3.0,16.0,Finished,3.0,2021,1,Bahrain Grand Prix
4,NOR,McLaren,4.0,12.0,Finished,7.0,2021,1,Bahrain Grand Prix
11,PER,Red Bull Racing,5.0,10.0,Finished,0.0,2021,1,Bahrain Grand Prix
16,LEC,Ferrari,6.0,8.0,Finished,4.0,2021,1,Bahrain Grand Prix
3,RIC,McLaren,7.0,6.0,Finished,6.0,2021,1,Bahrain Grand Prix
55,SAI,Ferrari,8.0,4.0,Finished,8.0,2021,1,Bahrain Grand Prix
22,TSU,AlphaTauri,9.0,2.0,Finished,13.0,2021,1,Bahrain Grand Prix
18,STR,Aston Martin,10.0,1.0,Finished,10.0,2021,1,Bahrain Grand Prix
7,RAI,Alfa Romeo Racing,11.0,0.0,Finished,14.0,2021,1,Bahrain Grand Prix
99,GIO,Alfa Romeo Racing,12.0,0.0,+1 Lap,12.0,2021,1,Bahrain Grand Prix
31,OCO,Alpine,13.0,0.0,+1 Lap,16.0,2021,1,Bahrain Grand Prix
63,RUS,Williams,14.0,0.0,+1 Lap,15.0,2021,1,Bahrain Grand Prix
5,VET,Aston Martin,15.0,0.0,+1 Lap,20.0,2021,1,Bahrain Grand Prix
47,MSC,Haas F1 Team,16.0,0.0,+1 Lap,18.0,2021,1,Bahrain Grand Prix
10,GAS,AlphaTauri,17.0,0.0,Retired,5.0,2021,1,Bahrain Grand Prix
6,LAT,Williams,18.0,0.0,Retired,17.0,2021,1,Bahrain Grand Prix
14,ALO,Alpine,19.0,0.0,Brakes,9.0,2021,1,Bahrain Grand Prix
9,MAZ,Haas F1 Team,20.0,0.0,Accident,19.0,2021,1,Bahrain Grand Prix
33,VER,Red Bull Racing,1.0,25.0,Finished,3.0,2021,2,Emilia Romagna Grand Prix
44,HAM,Mercedes,2.0,19.0,Finished,1.0,2021,2,Emilia Romagna Grand Prix
4,NOR,McLaren,3.0,15.0,Finished,7.0,2021,2,Emilia Romagna Grand Prix
16,LEC,Ferrari,4.0,12.0,Finished,4.0,2021,2,Emilia Romagna Grand Prix
55,SAI,Ferrari,5.0,10.0,Finished,11.0,2021,2,Emilia Romagna Grand Prix
3,RIC,McLaren,6.0,8.0,Finished,6.0,2021,2,Emilia Romagna Grand Prix
10,GAS,AlphaTauri,7.0,6.0,Finished,5.0,2021,2,Emilia Romagna Grand Prix
18,STR,Aston Martin,8.0,4.0,Finished,10.0,2021,2,Emilia Romagna Grand Prix
31,OCO,Alpine,9.0,2.0,Finished,9.0,2021,2,Emilia Romagna Grand Prix
14,ALO,Alpine,10.0,1.0,Finished,15.0,2021,2,Emilia Romagna Grand Prix
11,PER,Red Bull Racing,11.0,0.0,Finished,2.0,2021,2,Emilia Romagna Grand Prix
22,TSU,AlphaTauri,12.0,0.0,Finished,20.0,2021,2,Emilia Romagna Grand Prix
7,RAI,Alfa Romeo Racing,13.0,0.0,Finished,16.0,2021,2,Emilia Romagna Grand Prix
99,GIO,Alfa Romeo Racing,14.0,0.0,+1 Lap,17.0,2021,2,Emilia Romagna Grand Prix
5,VET,Aston Martin,15.0,0.0,Gearbox,0.0,2021,2,Emilia Romagna Grand Prix
47,MSC,Haas F1 Team,16.0,0.0,+2 Laps,18.0,2021,2,Emilia Romagna Grand Prix
9,MAZ,Haas F1 Team,17.0,0.0,+2 Laps,19.0,2021,2,Emilia Romagna Grand Prix
77,BOT,Mercedes,18.0,0.0,Collision,8.0,2021,2,Emilia Romagna Grand Prix
63,RUS,Williams,19.0,0.0,Collision,12.0,2021,2,Emilia Romagna Grand Prix
6,LAT,Williams,20.0,0.0,Collision,14.0,2021,2,Emilia Romagna Grand Prix
44,HAM,Mercedes,1.0,25.0,Finished,2.0,2021,3,Portuguese Grand Prix
33,VER,Red Bull Racing,2.0,18.0,Finished,3.0,2021,3,Portuguese Grand Prix
77,BOT,Mercedes,3.0,16.0,Finished,1.0,2021,3,Portuguese Grand Prix
11,PER,Red Bull Racing,4.0,12.0,Finished,4.0,2021,3,Portuguese Grand Prix
4,NOR,McLaren,5.0,10.0,Finished,7.0,2021,3,Portuguese Grand Prix
16,LEC,Ferrari,6.0,8.0,Finished,8.0,2021,3,Portuguese Grand Prix
31,OCO,Alpine,7.0,6.0,Finished,6.0,2021,3,Portuguese Grand Prix
14,ALO,Alpine,8.0,4.0,Finished,13.0,2021,3,Portuguese Grand Prix
3,RIC,McLaren,9.0,2.0,Finished,16.0,2021,3,Portuguese Grand Prix
10,GAS,AlphaTauri,10.0,1.0,Finished,9.0,2021,3,Portuguese Grand Prix
55,SAI,Ferrari,11.0,0.0,Finished,5.0,2021,3,Portuguese Grand Prix
99,GIO,Alfa Romeo Racing,12.0,0.0,+1 Lap,12.0,2021,3,Portuguese Grand Prix
5,VET,Aston Martin,13.0,0.0,+1 Lap,10.0,2021,3,Portuguese Grand Prix
18,STR,Aston Martin,14.0,0.0,+1 Lap,17.0,2021,3,Portuguese Grand Prix
22,TSU,AlphaTauri,15.0,0.0,+1 Lap,14.0,2021,3,Portuguese Grand Prix
63,RUS,Williams,16.0,0.0,+1 Lap,11.0,2021,3,Portuguese Grand Prix
47,MSC,Haas F1 Team,17.0,0.0,+2 Laps,19.0,2021,3,Portuguese Grand Prix
6,LAT,Williams,18.0,0.0,+2 Laps,18.0,2021,3,Portuguese Grand Prix
9,MAZ,Haas F1 Team,19.0,0.0,+2 Laps,20.0,2021,3,Portuguese Grand Prix
7,RAI,Alfa Romeo Racing,20.0,0.0,Collision damage,15.0,2021,3,Portuguese Grand Prix
44,HAM,Mercedes,1.0,25.0,Finished,1.0,2021,4,Spanish Grand Prix
33,VER,Red Bull Racing,2.0,19.0,Finished,2.0,2021,4,Spanish Grand Prix
77,BOT,Mercedes,3.0,15.0,Finished,3.0,2021,4,Spanish Grand Prix
16,LEC,Ferrari,4.0,12.0,Finished,4.0,2021,4,Spanish Grand Prix
11,PER,Red Bull Racing,5.0,10.0,Finished,8.0,2021,4,Spanish Grand Prix
3,RIC,McLaren,6.0,8.0,Finished,7.0,2021,4,Spanish Grand Prix
55,SAI,Ferrari,7.0,6.0,Finished,6.0,2021,4,Spanish Grand Prix
4,NOR,McLaren,8.0,4.0,+1 Lap,9.0,2021,4,Spanish Grand Prix
31,OCO,Alpine,9.0,2.0,+1 Lap,5.0,2021,4,Spanish Grand Prix
10,GAS,AlphaTauri,10.0,1.0,+1 Lap,12.0,2021,4,Spanish Grand Prix
18,STR,Aston Martin,11.0,0.0,+1 Lap,11.0,2021,4,Spanish Grand Prix
7,RAI,Alfa Romeo Racing,12.0,0.0,+1 Lap,17.0,2021,4,Spanish Grand Prix
5,VET,Aston Martin,13.0,0.0,+1 Lap,13.0,2021,4,Spanish Grand Prix
63,RUS,Williams,14.0,0.0,+1 Lap,15.0,2021,4,Spanish Grand Prix
99,GIO,Alfa Romeo Racing,15.0,0.0,+1 Lap,14.0,2021,4,Spanish Grand Prix
6,LAT,Williams,16.0,0.0,+1 Lap,19.0,2021,4,Spanish Grand Prix
14,ALO,Alpine,17.0,0.0,+1 Lap,10.0,2021,4,Spanish Grand Prix
47,MSC,Haas F1 Team,18.0,0.0,+2 Laps,18.0,2021,4,Spanish Grand Prix
9,MAZ,Haas F1 Team,19.0,0.0,+2 Laps,20.0,2021,4,Spanish Grand Prix
22,TSU,AlphaTauri,20.0,0.0,Electrical,16.0,2021,4,Spanish Grand Prix
33,VER,Red Bull Racing,1.0,25.0,Finished,2.0,2021,5,Monaco Grand Prix
55,SAI,Ferrari,2.0,18.0,Finished,4.0,2021,5,Monaco Grand Prix
4,NOR,McLaren,3.0,15.0,Finished,5.0,2021,5,Monaco Grand Prix
11,PER,Red Bull Racing,4.0,12.0,Finished,9.0,2021,5,Monaco Grand Prix
5,VET,Aston Martin,5.0,10.0,Finished,8.0,2021,5,Monaco Grand Prix
10,GAS,AlphaTauri,6.0,8.0,Finished,6.0,2021,5,Monaco Grand Prix
44,HAM,Mercedes,7.0,7.0,Finished,7.0,2021,5,Monaco Grand Prix
